Id 	 gr 	 gf 	 gl 	 r 	 prop phase 1 	 prop phase 2 	 prop phase 3 
phaseproportion_mechadapt188_	2.0	0.0	50.0	2.609375	0.0	0.9846153846153847	0.015384615384615385
phaseproportion_mechadapt189_	2.0	0.0	50.0	2.109375	0.0	0.9538461538461539	0.046153846153846156
phaseproportion_mechadapt144_	2.0	0.0	50.0	1.296875	0.2076923076923077	0.6230769230769231	0.16923076923076924
phaseproportion_mechadapt192_	2.0	0.0	50.0	1.109375	0.2846153846153846	0.4846153846153846	0.23076923076923078
phaseproportion_mechadapt84_	2.0	0.0	50.0	0.59375	0.5692307692307692	0.2230769230769231	0.2076923076923077
phaseproportion_mechadapt174_	2.0	0.0	50.0	4.484375	0.0	1.0	0.0
phaseproportion_mechadapt179_	2.0	0.0	50.0	4.359375	0.0	1.0	0.0
phaseproportion_mechadapt31_	2.0	0.0	50.0	0.225	1.0	0.0	0.0
phaseproportion_mechadapt89_	2.0	0.0	50.0	0.7437500000000001	0.46153846153846156	0.26153846153846155	0.27692307692307694
phaseproportion_mechadapt10_	2.0	0.0	50.0	0.95	0.35384615384615387	0.36923076923076925	0.27692307692307694
phaseproportion_mechadapt146_	2.0	0.0	50.0	3.421875	0.0	1.0	0.0
phaseproportion_mechadapt40_	2.0	0.0	50.0	0.3875	0.9923076923076923	0.0	0.007692307692307693
phaseproportion_mechadapt223_	2.0	0.0	50.0	3.203125	0.0	1.0	0.0
phaseproportion_mechadapt65_	2.0	0.0	50.0	0.61875	0.5461538461538461	0.23846153846153847	0.2153846153846154
phaseproportion_mechadapt11_	2.0	0.0	50.0	0.55	0.6461538461538462	0.16153846153846155	0.19230769230769232
phaseproportion_mechadapt66_	2.0	0.0	50.0	0.8187500000000001	0.4230769230769231	0.2923076923076923	0.2846153846153846
phaseproportion_mechadapt166_	2.0	0.0	50.0	4.734375	0.0	1.0	0.0
phaseproportion_mechadapt106_	2.0	0.0	50.0	0.98125	0.35384615384615387	0.3769230769230769	0.2692307692307692
phaseproportion_mechadapt27_	2.0	0.0	50.0	0.525	0.6923076923076923	0.11538461538461539	0.19230769230769232
phaseproportion_mechadapt32_	2.0	0.0	50.0	0.23750000000000002	1.0	0.0	0.0
phaseproportion_mechadapt184_	2.0	0.0	50.0	1.859375	0.06153846153846154	0.8615384615384616	0.07692307692307693
phaseproportion_mechadapt209_	2.0	0.0	50.0	1.453125	0.15384615384615385	0.7076923076923077	0.13846153846153847
phaseproportion_mechadapt38_	2.0	0.0	50.0	0.7375	0.46153846153846156	0.26153846153846155	0.27692307692307694
phaseproportion_mechadapt75_	2.0	0.0	50.0	0.5687500000000001	0.6	0.19230769230769232	0.2076923076923077
phaseproportion_mechadapt93_	2.0	0.0	50.0	0.84375	0.4153846153846154	0.3	0.2846153846153846
phaseproportion_mechadapt229_	2.0	0.0	50.0	2.640625	0.0	0.9846153846153847	0.015384615384615385
phaseproportion_mechadapt107_	2.0	0.0	50.0	0.58125	0.5923076923076923	0.2	0.2076923076923077
phaseproportion_mechadapt97_	2.0	0.0	50.0	0.6312500000000001	0.5384615384615384	0.23846153846153847	0.2230769230769231
phaseproportion_mechadapt140_	2.0	0.0	50.0	2.796875	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt152_	2.0	0.0	50.0	1.921875	0.038461538461538464	0.9	0.06153846153846154
phaseproportion_mechadapt177_	2.0	0.0	50.0	1.359375	0.18461538461538463	0.6538461538461539	0.16153846153846155
phaseproportion_mechadapt92_	2.0	0.0	50.0	0.44375000000000003	0.9	0.0	0.1
phaseproportion_mechadapt134_	2.0	0.0	50.0	4.546875	0.0	1.0	0.0
phaseproportion_mechadapt155_	2.0	0.0	50.0	4.671875	0.0	1.0	0.0
phaseproportion_mechadapt9_	2.0	0.0	50.0	0.75	0.46153846153846156	0.26153846153846155	0.27692307692307694
phaseproportion_mechadapt115_	2.0	0.0	50.0	0.45625000000000004	0.8769230769230769	0.007692307692307693	0.11538461538461539
phaseproportion_mechadapt138_	2.0	0.0	50.0	3.796875	0.0	1.0	0.0
phaseproportion_mechadapt254_	2.0	0.0	50.0	4.015625	0.0	1.0	0.0
phaseproportion_mechadapt56_	2.0	0.0	50.0	0.3125	1.0	0.0	0.0
phaseproportion_mechadapt205_	2.0	0.0	50.0	2.328125	0.0	0.9692307692307692	0.03076923076923077
phaseproportion_mechadapt101_	2.0	0.0	50.0	0.9312500000000001	0.36923076923076925	0.3384615384615385	0.2923076923076923
phaseproportion_mechadapt162_	2.0	0.0	50.0	3.234375	0.0	1.0	0.0
phaseproportion_mechadapt145_	2.0	0.0	50.0	1.421875	0.16153846153846155	0.6846153846153846	0.15384615384615385
phaseproportion_mechadapt78_	2.0	0.0	50.0	0.66875	0.5	0.25384615384615383	0.24615384615384617
phaseproportion_mechadapt213_	2.0	0.0	50.0	2.953125	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt124_	2.0	0.0	50.0	0.40625	0.9692307692307692	0.0	0.03076923076923077
phaseproportion_mechadapt42_	2.0	0.0	50.0	0.9875	0.3384615384615385	0.3923076923076923	0.2692307692307692
phaseproportion_mechadapt47_	2.0	0.0	50.0	0.28750000000000003	1.0	0.0	0.0
phaseproportion_mechadapt231_	2.0	0.0	50.0	3.640625	0.0	1.0	0.0
phaseproportion_mechadapt159_	2.0	0.0	50.0	3.171875	0.0	1.0	0.0
phaseproportion_mechadapt183_	2.0	0.0	50.0	3.859375	0.0	1.0	0.0
phaseproportion_mechadapt48_	2.0	0.0	50.0	0.2625	1.0	0.0	0.0
phaseproportion_mechadapt214_	2.0	0.0	50.0	4.953125	0.0	1.0	0.0
phaseproportion_mechadapt197_	2.0	0.0	50.0	2.578125	0.0	0.9846153846153847	0.015384615384615385
phaseproportion_mechadapt114_	2.0	0.0	50.0	0.85625	0.4	0.3076923076923077	0.2923076923076923
phaseproportion_mechadapt30_	2.0	0.0	50.0	0.625	0.5384615384615384	0.23846153846153847	0.2230769230769231
phaseproportion_mechadapt8_	2.0	0.0	50.0	0.35000000000000003	1.0	0.0	0.0
phaseproportion_mechadapt3_	2.0	0.0	50.0	0.4	0.9846153846153847	0.0	0.015384615384615385
phaseproportion_mechadapt74_	2.0	0.0	50.0	0.96875	0.35384615384615387	0.3769230769230769	0.2692307692307692
phaseproportion_mechadapt130_	2.0	0.0	50.0	3.046875	0.0	1.0	0.0
phaseproportion_mechadapt164_	2.0	0.0	50.0	2.234375	0.0	0.9692307692307692	0.03076923076923077
phaseproportion_mechadapt22_	2.0	0.0	50.0	0.7750000000000001	0.4461538461538462	0.27692307692307694	0.27692307692307694
phaseproportion_mechadapt44_	2.0	0.0	50.0	0.48750000000000004	0.7769230769230769	0.05384615384615385	0.16923076923076924
phaseproportion_mechadapt249_	2.0	0.0	50.0	1.515625	0.14615384615384616	0.7384615384615385	0.11538461538461539
phaseproportion_mechadapt232_	2.0	0.0	50.0	1.640625	0.1	0.7846153846153846	0.11538461538461539
phaseproportion_mechadapt233_	2.0	0.0	50.0	1.890625	0.05384615384615385	0.8692307692307693	0.07692307692307693
phaseproportion_mechadapt202_	2.0	0.0	50.0	3.828125	0.0	1.0	0.0
phaseproportion_mechadapt68_	2.0	0.0	50.0	0.51875	0.7	0.11538461538461539	0.18461538461538463
phaseproportion_mechadapt173_	2.0	0.0	50.0	2.484375	0.0	0.9769230769230769	0.023076923076923078
phaseproportion_mechadapt235_	2.0	0.0	50.0	4.890625	0.0	1.0	0.0
phaseproportion_mechadapt135_	2.0	0.0	50.0	3.546875	0.0	1.0	0.0
phaseproportion_mechadapt72_	2.0	0.0	50.0	0.36875	1.0	0.0	0.0
phaseproportion_mechadapt167_	2.0	0.0	50.0	3.734375	0.0	1.0	0.0
phaseproportion_mechadapt6_	2.0	0.0	50.0	0.7	0.4846153846153846	0.23846153846153847	0.27692307692307694
phaseproportion_mechadapt131_	2.0	0.0	50.0	4.046875	0.0	1.0	0.0
phaseproportion_mechadapt73_	2.0	0.0	50.0	0.76875	0.45384615384615384	0.2692307692307692	0.27692307692307694
phaseproportion_mechadapt133_	2.0	0.0	50.0	2.546875	0.0	0.9846153846153847	0.015384615384615385
phaseproportion_mechadapt137_	2.0	0.0	50.0	1.796875	0.07692307692307693	0.8461538461538461	0.07692307692307693
phaseproportion_mechadapt33_	2.0	0.0	50.0	0.6375	0.5307692307692308	0.23846153846153847	0.23076923076923078
phaseproportion_mechadapt158_	2.0	0.0	50.0	4.171875	0.0	1.0	0.0
phaseproportion_mechadapt150_	2.0	0.0	50.0	4.921875	0.0	1.0	0.0
phaseproportion_mechadapt221_	2.0	0.0	50.0	2.203125	0.0	0.9615384615384616	0.038461538461538464
phaseproportion_mechadapt151_	2.0	0.0	50.0	3.921875	0.0	1.0	0.0
